Dimensions,SEQtime,VECtime,UNROLLtime,SEQtoVECSpeedup,SEQtoUNROLL,VECtoUNROLL
1*1 matrix,1.86e-07 sec,1.244e-06 sec,9.469e-06 sec,0.149518,0.019643,0.131376
1*8 matrix,2.13e-07 sec,1.04e-06 sec,9.855e-06 sec,0.204808,0.0216134,0.10553
1*64 matrix,3.41e-07 sec,1.264e-06 sec,9.791e-06 sec,0.269778,0.0348279,0.129098
1*512 matrix,1.943e-06 sec,3.102e-06 sec,1.546e-06 sec,0.62637,1.25679,2.00647
1*4096 matrix,1.2825e-05 sec,1.6052e-05 sec,5.131e-06 sec,0.798966,2.49951,3.12843
8*1 matrix,2.68e-07 sec,1.597e-06 sec,1.0069e-05 sec,0.167815,0.0266163,0.158606
8*8 matrix,3.84e-07 sec,1.884e-06 sec,1.332e-06 sec,0.203822,0.288288,1.41441
8*64 matrix,1.831e-06 sec,1.1631e-05 sec,1.866e-06 sec,0.157424,0.981243,6.23312
8*512 matrix,3.9437e-05 sec,1.6224e-05 sec,5.073e-06 sec,2.43078,7.7739,3.19811
8*4096 matrix,0.000100008 sec,4.5097e-05 sec,3.3046e-05 sec,2.21762,3.02633,1.36467
64*1 matrix,5.29e-07 sec,1.2593e-05 sec,4.197e-06 sec,0.0420075,0.126042,3.00048
64*8 matrix,1.777e-06 sec,1.5412e-05 sec,5.644e-06 sec,0.1153,0.314848,2.73069
64*64 matrix,1.3285e-05 sec,1.7642e-05 sec,8.441e-06 sec,0.753033,1.57387,2.09004
64*512 matrix,0.000100387 sec,4.7279e-05 sec,3.6001e-05 sec,2.12329,2.78845,1.31327
64*4096 matrix,0.000857387 sec,0.000278014 sec,0.00028049 sec,3.08397,3.05675,0.991173
512*1 matrix,2.7e-06 sec,2.5099e-05 sec,2.7441e-05 sec,0.107574,0.0983929,0.914653
512*8 matrix,1.2805e-05 sec,3.4619e-05 sec,3.9023e-05 sec,0.369884,0.32814,0.887143
512*64 matrix,0.0001045 sec,6.128e-05 sec,5.9613e-05 sec,1.70529,1.75297,1.02796
512*512 matrix,0.000859257 sec,0.000293754 sec,0.000296163 sec,2.92509,2.9013,0.991866
512*4096 matrix,0.0184341 sec,0.0053707 sec,0.00240576 sec,3.43235,7.66249,2.23243
4096*1 matrix,2.3502e-05 sec,0.000128201 sec,0.000211803 sec,0.183321,0.110962,0.605284
4096*8 matrix,0.000104548 sec,0.000174983 sec,0.000347028 sec,0.597475,0.301267,0.504233
4096*64 matrix,0.000902828 sec,0.000451152 sec,0.000495499 sec,2.00116,1.82206,0.9105
4096*512 matrix,0.0180113 sec,0.0023968 sec,0.00242271 sec,7.51473,7.43436,0.989306
4096*4096 matrix,0.0593919 sec,0.0322132 sec,0.034374 sec,1.84371,1.72781,0.937139
1*1 matrix,1.53e-07 sec,1.381e-06 sec,9.347e-06 sec,0.110789,0.0163689,0.147748
1*7 matrix,2.29e-07 sec,1.548e-06 sec,1.759e-06 sec,0.147933,0.130188,0.880045
1*49 matrix,2.99e-07 sec,1.495e-06 sec,9.752e-06 sec,0.2,0.0306604,0.153302
1*343 matrix,1.175e-06 sec,2.335e-06 sec,1.388e-06 sec,0.503212,0.846542,1.68228
1*2401 matrix,7.499e-06 sec,1.3731e-05 sec,3.493e-06 sec,0.546136,2.14687,3.93101
7*1 matrix,2.77e-07 sec,2.859e-06 sec,2.987e-06 sec,0.096887,0.0927352,0.957148
7*7 matrix,2.98e-07 sec,1.742e-06 sec,1.285e-06 sec,0.171068,0.231907,1.35564
7*49 matrix,1.214e-06 sec,3.032e-06 sec,2.01e-06 sec,0.400396,0.60398,1.50846
7*343 matrix,7.512e-06 sec,2.9685e-05 sec,4.119e-06 sec,0.253057,1.82374,7.20685
7*2401 matrix,5.1318e-05 sec,2.9594e-05 sec,2.0426e-05 sec,1.73407,2.51239,1.44884
49*1 matrix,4.42e-07 sec,1.1945e-05 sec,3.494e-06 sec,0.0370029,0.126503,3.41872
49*7 matrix,1.25e-06 sec,3.026e-06 sec,1.6977e-05 sec,0.413087,0.073629,0.178241
49*49 matrix,7.872e-06 sec,1.5516e-05 sec,7.633e-06 sec,0.507347,1.03131,2.03275
49*343 matrix,5.1633e-05 sec,3.2991e-05 sec,2.2955e-05 sec,1.56506,2.24931,1.4372
49*2401 matrix,0.000357958 sec,0.000152029 sec,0.000122698 sec,2.35454,2.91739,1.23905
343*1 matrix,2.002e-06 sec,9.897e-06 sec,2.961e-05 sec,0.202284,0.0676123,0.334245
343*7 matrix,7.721e-06 sec,1.5626e-05 sec,2.2426e-05 sec,0.494112,0.344288,0.696781
343*49 matrix,5.4414e-05 sec,4.0123e-05 sec,4.8534e-05 sec,1.35618,1.12115,0.826699
343*343 matrix,0.000370585 sec,0.000151885 sec,0.000166439 sec,2.43991,2.22655,0.912557
343*2401 matrix,0.00687586 sec,0.000955049 sec,0.000881377 sec,7.19948,7.80127,1.08359
2401*1 matrix,1.3196e-05 sec,7.8792e-05 sec,0.000124927 sec,0.167479,0.10563,0.630704
2401*7 matrix,5.3749e-05 sec,0.00012632 sec,0.000185526 sec,0.425499,0.289711,0.680875
2401*49 matrix,0.000384405 sec,0.000217465 sec,0.000348986 sec,1.76766,1.10149,0.623134
2401*343 matrix,0.00273819 sec,0.00651557 sec,0.00172299 sec,0.420253,1.58921,3.78155
2401*2401 matrix,0.0290987 sec,0.00824843 sec,0.00659415 sec,3.52778,4.4128,1.25087

