Dimensions,Baseline(sec),-O2(sec),-O3(sec),-O2Speedup,-O3Speedup,-O2to-O3Speedup
1 * 1 matrix,6.08e-07,4.97e-07,4.61e-07,
1 * 8 matrix,6.55e-07,5.38e-07,4.98e-07,
1 * 64 matrix,1.076e-06,5.88e-07,6.14e-07,
1 * 512 matrix,4.527e-06,1.741e-06,1.697e-06,
1 * 4096 matrix,3.1861e-05,1.0782e-05,1.0885e-05,
8 * 1 matrix,7.48e-07,5.81e-07,5.48e-07,
8 * 8 matrix,1.21e-06,7.42e-07,6.82e-07,
8 * 64 matrix,4.667e-06,1.711e-06,1.63e-06,
8 * 512 matrix,3.1658e-05,1.0732e-05,1.0638e-05,
8 * 4096 matrix,0.000252965,8.2671e-05,8.2758e-05,
64 * 1 matrix,1.41e-06,7.69e-07,1.106e-06,
64 * 8 matrix,1.1123e-05,1.671e-06,1.854e-06,
64 * 64 matrix,3.2774e-05,9.396e-06,9.429e-06,
64 * 512 matrix,0.000253362,8.1178e-05,8.1174e-05,
64 * 4096 matrix,0.00199549,0.000662187,0.000662354,
512 * 1 matrix,6.883e-06,2.472e-06,2.463e-06,
512 * 8 matrix,3.1959e-05,8.737e-06,8.804e-06,
512 * 64 matrix,0.000258377,7.1681e-05,7.1598e-05,
512 * 512 matrix,0.00200981,0.000659841,0.000649903,
512 * 4096 matrix,0.00795851,0.00263361,0.00265316,
4096 * 1 matrix,2.9406e-05,1.2743e-05,1.7739e-05,
4096 * 8 matrix,0.000182811,0.000119038,6.4076e-05,
4096 * 64 matrix,0.00210372,0.000589105,0.000600993,
4096 * 512 matrix,0.00800556,0.00259762,0.00261191,
4096 * 4096 matrix,0.0636316,0.0214483,0.0214485,
1 * 1 matrix,2.81e-07,2.53e-07,2.48e-07,
1 * 7 matrix,4.56e-07,4.38e-07,4.69e-07,
1 * 49 matrix,9.79e-07,6.68e-07,9.15e-07,
1 * 343 matrix,3.164e-06,1.353e-06,1.327e-06,
1 * 2401 matrix,1.8761e-05,6.529e-06,6.559e-06,
7 * 1 matrix,8.29e-07,5.45e-07,5.24e-07,
7 * 7 matrix,1.009e-06,7.68e-07,7.28e-07,
7 * 49 matrix,3.304e-06,1.303e-06,1.327e-06,
7 * 343 matrix,1.8918e-05,6.428e-06,6.401e-06,
7 * 2401 matrix,0.000127583,4.2576e-05,4.256e-05,
49 * 1 matrix,1.303e-06,7.35e-07,7.52e-07,
49 * 7 matrix,3.304e-06,1.267e-06,1.33e-06,
49 * 49 matrix,1.977e-05,5.857e-06,5.65e-06,
49 * 343 matrix,0.000128201,4.1594e-05,4.1611e-05,
49 * 2401 matrix,0.000897942,0.000294482,0.000295655,
343 * 1 matrix,4.822e-06,1.837e-06,1.834e-06,
343 * 7 matrix,1.9211e-05,5.473e-06,5.463e-06,
343 * 49 matrix,0.000134112,3.656e-05,3.6469e-05,
343 * 343 matrix,0.000901864,0.00028799,0.000287652,
343 * 2401 matrix,0.00314339,0.00103144,0.00107652,
2401 * 1 matrix,1.6814e-05,7.202e-06,7.283e-06,
2401 * 7 matrix,7.9011e-05,2.9988e-05,2.9956e-05,
2401 * 49 matrix,0.000949255,0.000262046,0.000262627,
2401 * 343 matrix,0.00315242,0.00105395,0.00101286,
2401 * 2401 matrix,0.0219011,0.00724106,0.00723244,
