Dimensions,SEQtime,VECtime,UNROLLtime,SEQtoVECSpeedup,SEQtoUNROLL,VECtoUNROLL
1*1 matrix,2.836e-06 sec,4.932e-06 sec,1.46e-06 sec,0.57502,1.94247,3.37808
1*8 matrix,2.529e-06 sec,4.654e-06 sec,1.424e-06 sec,0.543404,1.77598,3.26826
1*64 matrix,9.69e-07 sec,3.822e-06 sec,5.794e-06 sec,0.253532,0.167242,0.659648
1*512 matrix,2.703e-06 sec,3.949e-06 sec,3.384e-06 sec,0.684477,0.798759,1.16696
1*4096 matrix,9.609e-06 sec,5.262e-06 sec,4.457e-06 sec,1.82611,2.15593,1.18061
8*1 matrix,2.723e-06 sec,5.099e-06 sec,1.671e-06 sec,0.534026,1.62956,3.05147
8*8 matrix,2.83e-06 sec,4.911e-06 sec,1.637e-06 sec,0.576257,1.72877,3
8*64 matrix,3.268e-06 sec,3.889e-06 sec,3.555e-06 sec,0.840319,0.919269,1.09395
8*512 matrix,9.666e-06 sec,5.085e-06 sec,4.267e-06 sec,1.90088,2.26529,1.1917
8*4096 matrix,4.0171e-05 sec,1.5343e-05 sec,1.4638e-05 sec,2.6182,2.7443,1.04816
64*1 matrix,2.93e-06 sec,6.729e-06 sec,3.104e-06 sec,0.435429,0.943943,2.16785
64*8 matrix,3.793e-06 sec,6.245e-06 sec,3.675e-06 sec,0.607366,1.03211,1.69932
64*64 matrix,1.0241e-05 sec,5.567e-06 sec,6.027e-06 sec,1.83959,1.69919,0.923677
64*512 matrix,4.2446e-05 sec,1.5236e-05 sec,1.165e-05 sec,2.7859,3.64343,1.30781
64*4096 matrix,0.000289628 sec,9.5521e-05 sec,8.1919e-05 sec,3.03209,3.53554,1.16604
512*1 matrix,4.925e-06 sec,1.3225e-05 sec,1.5549e-05 sec,0.372401,0.316741,0.850537
512*8 matrix,1.0919e-05 sec,1.1464e-05 sec,1.8938e-05 sec,0.95246,0.576566,0.605344
512*64 matrix,5.4762e-05 sec,1.7364e-05 sec,2.5446e-05 sec,3.15377,2.15209,0.682386
512*512 matrix,0.000313624 sec,9.2804e-05 sec,8.1972e-05 sec,3.37942,3.82599,1.13214
512*4096 matrix,0.00112292 sec,0.000435759 sec,0.000396475 sec,2.57692,2.83225,1.09908
4096*1 matrix,1.3837e-05 sec,2.6913e-05 sec,6.1129e-05 sec,0.514138,0.226357,0.440266
4096*8 matrix,3.8556e-05 sec,2.7852e-05 sec,7.587e-05 sec,1.38432,0.508185,0.367102
4096*64 matrix,0.000293718 sec,8.2535e-05 sec,0.000130541 sec,3.55871,2.25001,0.632253
4096*512 matrix,0.00117518 sec,0.000446117 sec,0.000394037 sec,2.63425,2.98242,1.13217
4096*4096 matrix,0.0103806 sec,0.00605421 sec,0.00634061 sec,1.7146,1.63715,0.954831
1*1 matrix,1.535e-06 sec,2.531e-06 sec,1.356e-06 sec,0.60648,1.13201,1.86652
1*7 matrix,1.393e-06 sec,2.558e-06 sec,1.06e-06 sec,0.544566,1.31415,2.41321
1*49 matrix,6.19e-07 sec,2.013e-06 sec,3.281e-06 sec,0.307501,0.188662,0.613532
1*343 matrix,1.606e-06 sec,2.947e-06 sec,2.631e-06 sec,0.544961,0.610414,1.12011
1*2401 matrix,6.275e-06 sec,3.585e-06 sec,3.175e-06 sec,1.75035,1.97638,1.12913
7*1 matrix,2.61e-06 sec,4.748e-06 sec,1.46e-06 sec,0.549705,1.78767,3.25205
7*7 matrix,3.187e-06 sec,6.673e-06 sec,2.376e-06 sec,0.477596,1.34133,2.8085
7*49 matrix,2.499e-06 sec,4.033e-06 sec,3.986e-06 sec,0.619638,0.626944,1.01179
7*343 matrix,8.125e-06 sec,4.948e-06 sec,4.695e-06 sec,1.64208,1.73056,1.05389
7*2401 matrix,2.2527e-05 sec,1.0729e-05 sec,1.5514e-05 sec,2.09964,1.45204,0.691569
49*1 matrix,2.79e-06 sec,6.081e-06 sec,2.757e-06 sec,0.458806,1.01197,2.20566
49*7 matrix,3.315e-06 sec,7.628e-06 sec,3.074e-06 sec,0.434583,1.0784,2.48146
49*49 matrix,1.0247e-05 sec,5.399e-06 sec,7.601e-06 sec,1.89794,1.34811,0.710301
49*343 matrix,2.3653e-05 sec,1.2092e-05 sec,1.2676e-05 sec,1.95609,1.86597,0.953929
49*2401 matrix,0.000131776 sec,5.0816e-05 sec,4.7472e-05 sec,2.5932,2.77587,1.07044
343*1 matrix,4.049e-06 sec,1.0274e-05 sec,1.0852e-05 sec,0.394102,0.373111,0.946738
343*7 matrix,7.641e-06 sec,1.5156e-05 sec,1.2736e-05 sec,0.504157,0.599953,1.19001
343*49 matrix,3.1571e-05 sec,1.4531e-05 sec,3.12e-05 sec,2.17267,1.01189,0.465737
343*343 matrix,0.00013925 sec,6.1033e-05 sec,6.9724e-05 sec,2.28155,1.99716,0.875351
343*2401 matrix,0.000447498 sec,0.000210749 sec,0.000206517 sec,2.12337,2.16688,1.02049
2401*1 matrix,9.156e-06 sec,2.41e-05 sec,3.6595e-05 sec,0.379917,0.250198,0.65856
2401*7 matrix,2.5314e-05 sec,4.1212e-05 sec,5.1616e-05 sec,0.614239,0.490429,0.798435
2401*49 matrix,0.000123637 sec,5.1487e-05 sec,0.000122864 sec,2.40132,1.00629,0.419057
2401*343 matrix,0.000757528 sec,0.00032564 sec,0.000378978 sec,2.32627,1.99887,0.859258
2401*2401 matrix,0.00329363 sec,0.00142437 sec,0.0012902 sec,2.31233,2.5528,1.10399
